config,mode,id,split,category,evidence_count,latency_ms,hit_at_1,rr_at_10,first_full_rank,recall_at_1,coverage_at_1,recall_at_2,coverage_at_2,recall_at_3,coverage_at_3,recall_at_4,coverage_at_4,recall_at_5,coverage_at_5,recall_at_6,coverage_at_6,recall_at_8,coverage_at_8,recall_at_10,coverage_at_10,ndcg_at_4,ndcg_at_10,precision_at_4,evidence_density_at_4,doc_hit_at_1,doc_recall_at_4,doc_precision_at_4,wrong_section_at_4,context_tokens_at_4,required_context_recall_at_4,recall_budget_256,coverage_budget_256,chunks_budget_256,recall_budget_512,coverage_budget_512,chunks_budget_512,recall_budget_768,coverage_budget_768,chunks_budget_768,recall_budget_1024,coverage_budget_1024,chunks_budget_1024,recall_budget_1536,coverage_budget_1536,chunks_budget_1536,recall_budget_2048,coverage_budget_2048,chunks_budget_2048,recall_budget_3072,coverage_budget_3072,chunks_budget_3072
A,hybrid,q001,dev,exact_topic,1,25.090100010856986,0,0.5,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.25,0.10119250425894379,1,1,0.75,2,1403,,0.0,0.0,0,0.0,0.0,1,1.0,1.0,2,1.0,1.0,3,1.0,1.0,4,1.0,1.0,5,1.0,1.0,9
A,hybrid,q002,dev,symptom_only,1,26.29130001878366,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.04322668481960518,1,1,0.25,0,1475,,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q003,dev,qualifier,1,26.33839996997267,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.11973018549747048,1,1,1.0,2,1321,1.0,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,3,1.0,1.0,4,1.0,1.0,6,1.0,1.0,9
A,hybrid,q004,dev,exact_topic,1,24.812899995595217,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.04932228915662651,1,1,0.75,2,1363,,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q005,dev,mixed_language,1,25.745499995537102,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.11543810848400557,1,1,1.0,3,1078,,0.0,0.0,0,1.0,1.0,2,1.0,1.0,3,1.0,1.0,3,1.0,1.0,5,1.0,1.0,7,1.0,1.0,10
A,hybrid,q006,dev,qualifier,1,25.774399982765317,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.12174680194089105,1,1,0.75,2,1125,1.0,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,3,1.0,1.0,5,1.0,1.0,6,1.0,1.0,9
A,hybrid,q007,dev,mixed_language,1,25.16969997668639,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.047276464542651594,1,1,0.75,2,1470,,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q008,dev,qualifier,1,25.709499954245985,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.09597971749366171,1,1,1.0,3,1406,,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q009,dev,exact_topic,1,23.44799996353686,0,0.5,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.25,0.05849965588437715,1,1,1.0,3,1375,,0.0,0.0,0,0.0,0.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q010,dev,mixed_language,1,28.91210000962019,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.056564964004113816,1,1,0.75,2,1400,,0.0,0.0,0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q011,dev,exact_topic,1,26.22910001082346,0,0.5,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.25,0.07253711201079623,1,1,1.0,3,1480,,0.0,0.0,0,0.0,0.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,8
A,hybrid,q012,dev,paraphrase,1,25.912199984304607,0,0.5,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6432468975299493,0.6432468975299493,0.5,0.04285224545766198,1,1,1.0,2,1374,,0.0,0.0,0,0.0,0.0,1,1.0,1.0,2,1.0,1.0,2,1.0,1.0,4,1.0,1.0,5,1.0,1.0,9
A,hybrid,q013,dev,no_accent,1,26.200300024356693,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.75,3,1423,,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,4,0.0,0.0,5,0.0,0.0,8
